,Dataset,row,col,T2,T3,C1_regr,L1,S3,Model,MAE,MSE,R2,complexity,Duration
701,616_fri_c4_500_50,500,50,0.1,0.086,0.4452665810663242,0.5098394395513988,0.743730162707487,symbolic_regression,0.1180218280433434,0.0217676220542879,0.9639110216961884,31.0,267.2964200038536
702,617_fri_c3_500_5,500,5,0.01,0.006,0.3878057432229728,0.5912328043866277,0.136101823008227,decision_tree_regressor,0.3525783621847086,0.2233947339118469,0.6805289858953356,61.0,0.0315892041898241
703,617_fri_c3_500_5,500,5,0.01,0.006,0.3878057432229728,0.5912328043866277,0.136101823008227,ebm,0.1310646548311714,0.0298586421720798,0.9562185677901576,1981.0,5.174367619495766
704,617_fri_c3_500_5,500,5,0.01,0.006,0.3878057432229728,0.5912328043866277,0.136101823008227,glm,0.6008716090742381,0.5126373192954148,0.2355474113579387,0.0,4.765282572484484
705,617_fri_c3_500_5,500,5,0.01,0.006,0.3878057432229728,0.5912328043866277,0.136101823008227,igann,0.2005450388982283,0.0734615295243264,0.8888562528823536,0.0,135.6999073425929
706,617_fri_c3_500_5,500,5,0.01,0.006,0.3878057432229728,0.5912328043866277,0.136101823008227,knn,0.243563469553468,0.1178181102770905,0.8314360811077354,0.0,0.0144973525813981
707,617_fri_c3_500_5,500,5,0.01,0.006,0.3878057432229728,0.5912328043866277,0.136101823008227,lasso,0.6008553603836437,0.5126303735435034,0.2337960677541425,5.0,0.0167464368483599
708,617_fri_c3_500_5,500,5,0.01,0.006,0.3878057432229728,0.5912328043866277,0.136101823008227,linear_regression,0.6009241753776796,0.5126678456268741,0.2335687731566833,5.0,0.012252134435317
709,617_fri_c3_500_5,500,5,0.01,0.006,0.3878057432229728,0.5912328043866277,0.136101823008227,poly_lasso,0.3904991601598887,0.240995254380833,0.6360404093077597,17.0,1.9935009760015157
710,617_fri_c3_500_5,500,5,0.01,0.006,0.3878057432229728,0.5912328043866277,0.136101823008227,symbolic_regression,0.2348636886389289,0.1034583861099612,0.8436622256638215,24.5,284.30704655834273
711,618_fri_c3_1000_50,1000,50,0.05,0.044,0.4361154881154881,0.5048182053040149,0.6825615791011228,decision_tree_regressor,0.2826461013430925,0.1388123323627258,0.7578285499218724,313.0,0.0176857733259014
712,618_fri_c3_1000_50,1000,50,0.05,0.044,0.4361154881154881,0.5048182053040149,0.6825615791011228,ebm,0.1991842559122528,0.0614085575049309,0.8956980188487267,37792.0,9.029650078100318
713,618_fri_c3_1000_50,1000,50,0.05,0.044,0.4361154881154881,0.5048182053040149,0.6825615791011228,glm,0.539310216543575,0.4187680531850029,0.2541050907521666,0.0,0.0052059958962833
714,618_fri_c3_1000_50,1000,50,0.05,0.044,0.4361154881154881,0.5048182053040149,0.6825615791011228,igann,0.225473052612017,0.0849692266801776,0.8477915338559634,0.0,1.02509699382034
715,618_fri_c3_1000_50,1000,50,0.05,0.044,0.4361154881154881,0.5048182053040149,0.6825615791011228,knn,0.518144909933999,0.4078598132569631,0.2795392505006941,0.0,0.007565091638004
716,618_fri_c3_1000_50,1000,50,0.05,0.044,0.4361154881154881,0.5048182053040149,0.6825615791011228,lasso,0.5338789826358752,0.4234194272238326,0.2583881296987511,28.0,0.004673490337297
717,618_fri_c3_1000_50,1000,50,0.05,0.044,0.4361154881154881,0.5048182053040149,0.6825615791011228,linear_regression,0.5303702846571836,0.4121501681444773,0.2513437334338694,50.0,0.0033567863352158
718,618_fri_c3_1000_50,1000,50,0.05,0.044,0.4361154881154881,0.5048182053040149,0.6825615791011228,poly_lasso,0.3506549448871287,0.1779606547409463,0.6882544533626277,135.0,104.86633739985672
719,618_fri_c3_1000_50,1000,50,0.05,0.044,0.4361154881154881,0.5048182053040149,0.6825615791011228,symbolic_regression,0.1407901818951054,0.0328661439451913,0.9417981740547724,29.0,280.8326150482776
720,620_fri_c1_1000_25,1000,25,0.025,0.023,0.3866561306561307,0.4962910356542307,0.669762781075332,decision_tree_regressor,0.28689819599581,0.1335425982878006,0.7094555718867686,217.0,0.0442484173120236
