,Dataset,row,col,T2,T3,F1,N3,C1_clf,Model,Precision,Recall,Fbeta,Accuracy,complexity,Duration,E3,E5
336,irish,500,6,0.012,0.01,0.643992082841005,0.046,0.9909324035683696,decision_tree,1.0,1.0,1.0,1.0,5.0,0.056144567096934606,0.080810033396795,0.1047573635086894
337,irish,500,6,0.012,0.01,0.643992082841005,0.046,0.9909324035683696,ebm,1.0,1.0,1.0,1.0,122.0,0.7267762258941052,0.080810033396795,0.1047573635086894
338,irish,500,6,0.012,0.01,0.643992082841005,0.046,0.9909324035683696,gosdt,1.0,1.0,1.0,1.0,5.0,2.39174403630051,0.080810033396795,0.1047573635086894
339,irish,500,6,0.012,0.01,0.643992082841005,0.046,0.9909324035683696,igann,1.0,1.0,1.0,1.0,0.0,189.38552111971612,0.080810033396795,0.1047573635086894
340,irish,500,6,0.012,0.01,0.643992082841005,0.046,0.9909324035683696,knn,0.9504237119949194,0.9540431488801054,0.9516125133062469,0.952,0.0,0.06887317872514911,0.080810033396795,0.1047573635086894
341,irish,500,6,0.012,0.01,0.643992082841005,0.046,0.9909324035683696,logistic_regression,0.8096681796657543,0.8057029926595144,0.8051602846982435,0.808,0.0,2.1273500732347075,0.080810033396795,0.1047573635086894
342,irish,500,6,0.012,0.01,0.643992082841005,0.046,0.9909324035683696,naive_bayes,0.8083336709612943,0.7802653867871259,0.7573611502950247,0.76,24.0,0.07284927368164062,0.080810033396795,0.1047573635086894
343,kr_vs_kp,3196,37,0.0115769712140175,0.0075093867334167,0.7954392181726605,0.1548811013767209,0.998575538655458,decision_tree,0.9691203585364484,0.9694150438811252,0.969285930527926,0.9693366708385482,38.0,0.12143291912826837,0.2166442612256211,0.3007096247557835
344,kr_vs_kp,3196,37,0.0115769712140175,0.0075093867334167,0.7954392181726605,0.1548811013767209,0.998575538655458,ebm,0.968061430721938,0.9680412245733429,0.968020064781181,0.9680851063829788,158.0,2.776090107712091,0.2166442612256211,0.3007096247557835
345,kr_vs_kp,3196,37,0.0115769712140175,0.0075093867334167,0.7954392181726605,0.1548811013767209,0.998575538655458,gosdt,0.94463104636315,0.9410694194334702,0.9421230573966556,0.9424280350438048,9.0,18.802345409112817,0.2166442612256211,0.3007096247557835
346,kr_vs_kp,3196,37,0.0115769712140175,0.0075093867334167,0.7954392181726605,0.1548811013767209,0.998575538655458,igann,0.9724089608464824,0.9724089608464824,0.9724089608464824,0.9724655819774718,0.0,115.29149832211289,0.2166442612256211,0.3007096247557835
347,kr_vs_kp,3196,37,0.0115769712140175,0.0075093867334167,0.7954392181726605,0.1548811013767209,0.998575538655458,knn,0.9527356913831744,0.951009774854126,0.9516368261681664,0.9518147684605758,0.0,0.5864683950648588,0.2166442612256211,0.3007096247557835
348,kr_vs_kp,3196,37,0.0115769712140175,0.0075093867334167,0.7954392181726605,0.1548811013767209,0.998575538655458,logistic_regression,0.9736242164999788,0.9737215463231508,0.9736698275568794,0.9737171464330412,0.0,10.30288342401093,0.2166442612256211,0.3007096247557835
349,kr_vs_kp,3196,37,0.0115769712140175,0.0075093867334167,0.7954392181726605,0.1548811013767209,0.998575538655458,naive_bayes,0.8286856562842364,0.8197891948221527,0.8208359845906921,0.8229036295369212,148.0,0.034132985507740694,0.2166442612256211,0.3007096247557835
350,labor,57,57,1.0,0.4561403508771929,0.5576086956521739,0.087719298245614,0.9348490242345944,decision_tree,0.7763888888888888,0.7944444444444445,0.7800450323670138,0.7928571428571429,8.0,0.07905555472654455,0.2255463452063658,0.4450533497599283
351,labor,57,57,1.0,0.4561403508771929,0.5576086956521739,0.087719298245614,0.9348490242345944,ebm,0.9333333333333332,0.9,0.9181286549707603,0.9285714285714286,264.0,3.0936886422774372,0.2255463452063658,0.4450533497599283
352,labor,57,57,1.0,0.4561403508771929,0.5576086956521739,0.087719298245614,0.9348490242345944,gosdt,0.7875,0.7,0.7071428571428572,0.7595238095238095,7.0,1.0618853615779502,0.2255463452063658,0.4450533497599283
353,labor,57,57,1.0,0.4561403508771929,0.5576086956521739,0.087719298245614,0.9348490242345944,igann,1.0,1.0,1.0,1.0,0.0,0.37916119893391925,0.2255463452063658,0.4450533497599283
354,labor,57,57,1.0,0.4561403508771929,0.5576086956521739,0.087719298245614,0.9348490242345944,knn,0.9295454545454546,0.875,0.8840643274853802,0.8976190476190476,0.0,1.3508365107517617,0.2255463452063658,0.4450533497599283
355,labor,57,57,1.0,0.4561403508771929,0.5576086956521739,0.087719298245614,0.9348490242345944,logistic_regression,0.9125,0.8500000000000001,0.8514088250930356,0.8642857142857143,0.0,0.9333803723840153,0.2255463452063658,0.4450533497599283
356,labor,57,57,1.0,0.4561403508771929,0.5576086956521739,0.087719298245614,0.9348490242345944,naive_bayes,0.8434343434343434,0.8,0.7896929824561403,0.8214285714285714,228.0,0.061659679693334246,0.2255463452063658,0.4450533497599283
357,lupus,87,3,0.0344827586206896,0.0229885057471264,0.6333337371769041,0.3793103448275862,0.972279462096882,decision_tree,0.7941919191919192,0.7286324786324787,0.7260235732009925,0.75,7.0,0.09796064741471235,0.5699767245855452,0.6584334888993931
358,lupus,87,3,0.0344827586206896,0.0229885057471264,0.6333337371769041,0.3793103448275862,0.972279462096882,ebm,0.7596153846153846,0.6901709401709402,0.6817053913828106,0.7045454545454546,110.5,0.2712259713341208,0.5699767245855452,0.6584334888993931
