dataset,row,col,T2,T3,C1_regr,L1,S3
650_fri_c0_500_50,500,50,0.1,0.092,0.5879947679790718,0.2581547507124402,0.6316024096428603
651_fri_c0_100_25,100,25,0.25,0.22,0.5707410741074107,0.2644361144691166,0.5925548589711487
653_fri_c0_250_25,250,25,0.1,0.092,0.5413561176978832,0.30333797743209934,0.7645115302044307
654_fri_c0_500_10,500,10,0.02,0.02,0.5566497785991144,0.29717555325716877,0.3070731876587936
656_fri_c1_100_5,100,5,0.05,0.04,0.40579657965796573,0.5325145094177733,0.29448039019207856
657_fri_c2_250_10,250,10,0.04,0.032,0.440902414438631,0.4380514979028889,0.31851525273820347
658_fri_c3_250_25,250,25,0.1,0.084,0.41643661498583967,0.505161402335488,0.7181580623070063
659_sleuth_ex1714,47,7,0.14893617021276595,0.10638297872340426,0.926724924524173,0.22505074242268425,0.4433531661754007
663_rabe_266,120,10,0.08333333333333333,0.075,0.9428102482436307,0.05481426872993132,0.027039483234141383
665_sleuth_case2002,147,6,0.04081632653061224,0.04081632653061224,0.5041573126800796,0.5363632830988013,1.0831972789115645
666_rmftsa_ladata,508,10,0.01968503937007874,0.00984251968503937,0.5940641633540151,0.5374974214743242,1.0495472478764787
678_visualizing_environmental,111,3,0.02702702702702703,0.02702702702702703,0.60514215256274,0.5223443935773875,0.9670188570569037
687_sleuth_ex1605,62,5,0.08064516129032258,0.08064516129032258,0.7191023395077715,0.34753525815927166,0.38240872148278837
690_visualizing_galaxy,323,4,0.01238390092879257,0.009287925696594427,0.9154040003097003,0.16973801122569088,0.016625108132555844
695_chatfield_4,235,12,0.05106382978723404,0.02127659574468085,0.9336398219849835,0.19170953535591057,0.16820449663139522
706_sleuth_case1202,93,9,0.0967741935483871,0.06451612903225806,0.8482819340137577,0.34827139883814384,0.6189162046611804
712_chscase_geyser1,222,2,0.009009009009009009,0.009009009009009009,0.7629763678093509,0.23181365077774882,0.13645277930992217
auto_insurance_losses,159,37,0.23270440251572327,0.0440251572327044,0.4035340170178711,0.2527410765913553,0.20165256101664206
auto_insurance_price,193,39,0.20207253886010362,0.046632124352331605,0.9153239016358681,0.1566707261467212,0.1168359529419155
nikuradse_1,362,2,0.0055248618784530384,0.0055248618784530384,0.96616471576785,0.334174317181268,0.0009393162052497287
nikuradse_2,362,1,0.0027624309392265192,0.0027624309392265192,0.3624820374462198,0.8126452317543849,0.06200122774708414
solar_flare,1066,21,0.019699812382739212,0.012195121951219513,0.26906944063612614,0.40009701498006567,1.0797373358348967
strogatz_bacres1,400,2,0.005,0.005,0.8640804005025031,0.17604301045337833,0.014062988361919358
strogatz_bacres2,400,2,0.005,0.005,0.9824397652485327,0.05279175106853707,0.0016596498807437794
strogatz_barmag1,400,2,0.005,0.005,0.96697579359871,0.19667103070428438,0.02141647250207718
strogatz_barmag2,400,2,0.005,0.005,0.11590309939437121,6.799941773466011,13.00787788509226
strogatz_glider1,400,2,0.005,0.005,0.3328867680423002,0.46285160886620047,0.02494255735612966
strogatz_glider2,400,2,0.005,0.005,0.7623370146063412,0.3314566471406842,0.04864853635069554
strogatz_lv1,400,2,0.005,0.0025,0.16192283210783362,10.492552019098978,1885.832746807121
strogatz_lv2,400,2,0.005,0.0025,0.29399602497515603,4.3973810125376005,326.4513451198779
strogatz_predprey1,400,2,0.005,0.005,0.8728119550747191,1.7390439176024,0.9691147053942671
strogatz_predprey2,400,2,0.005,0.005,0.6430287064294151,0.11936653966902291,0.00359323471171722
strogatz_shearflow1,400,2,0.005,0.005,0.3508278176738604,2.0500330857402473,1.4528595902506294
strogatz_shearflow2,400,2,0.005,0.005,0.3901282508015675,0.5421017932485498,0.027630576887438064
strogatz_vdp1,400,2,0.005,0.005,0.487837736485853,2.2764408852401403,1.3655549618914933
strogatz_vdp2,400,2,0.005,0.005,0.9999999999999999,3.0134992808419915e-16,0.001978955001307176
