dataset,row,col,T2,T3,F1,N3,C1_clf,E3,E5
profb,672,12,0.017857142857142856,0.011904761904761904,0.9390502686954472,0.38095238095238093,0.9182958340544894,0.5930660594935244,0.7229289829942144
ring,7400,20,0.002702702702702703,0.0025675675675675674,0.9752459305501036,0.24675675675675676,0.9999317106546881,0.23317268543086292,0.28782238792090353
saheart,462,9,0.01948051948051948,0.017316017316017316,0.8608908897124732,0.3722943722943723,0.9307388109871576,0.5187775166411726,0.6307882187584342
sonar,208,60,0.28846153846153844,0.13942307692307693,0.8126366150379867,0.16346153846153846,0.9967295890208366,0.30021209959473694,0.4253723944100534
spambase,4601,57,0.01238861117148446,0.0019560965007607042,0.8531318397572966,0.0919365355357531,0.9673602371807668,0.15887056811722963,0.22241020569003284
spect,267,22,0.08239700374531835,0.06741573033707865,0.8601274754405114,0.24344569288389514,0.7337524087989602,0.44711033118757915,0.5067587944879763
spectf,349,44,0.12607449856733524,0.06876790830945559,0.8548530179018561,0.11461318051575932,0.8446127584974168,0.3946830232325886,0.5446352158745152
threeOf9,512,9,0.017578125,0.017578125,0.9067042875544379,0.197265625,0.9964308234404787,0.44121245151836797,0.5695222457342617
tic_tac_toe,958,18,0.018789144050104383,0.015657620041753653,0.8843829982990763,0.0,0.9309539862507962,0.0,0.006028627097180479
titanic,2099,26,0.012386850881372083,0.004287756074321105,0.7818414775270318,0.24964268699380657,0.9091448220964161,0.4038051714303448,0.5160498311587308
tokyo1,959,42,0.043795620437956206,0.0020855057351407717,0.43199583157642907,0.09906152241918666,0.9433390515199497,0.13597289722183264,0.1717989417459463
twonorm,7400,20,0.002702702702702703,0.0025675675675675674,0.8212338534797529,0.05418918918918919,0.999999525775866,0.10076435368273588,0.13236670952372223
xd6,973,9,0.009249743062692703,0.009249743062692703,0.9563638126103282,0.010277492291880781,0.9158790625676118,0.27369557232867614,0.3888022106397198
